Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search,PayloadReferenceDistance,AnotherPayloadDistance,PayloadInterchangeName,MinimumPrice,MaximumPrice,TotalSizeTerm
B3-Health,404,142.3281873,142.3281873,1,-1,0,1,1,0.0032277,7.6923077,0,0,w8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,4443705088
B4-Technical Unskilled,405,200,200,1,-1,0,1,1,0.006569722,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,5426378381
C1-Sales Clerical Professionals,406,120,120,1,-1,0,1,1,0.0048769,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6869128273
C2-Sales Service,407,59.76045345,59.76045345,1,-1,0,1,1,0.0070781,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,3376778122
C3-Clerical,408,66.32747341,66.32747341,1,-1,0,1,1,0.0076858,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6884782798
C4-Sales Clerical Unskilled,409,147.4528314,147.4528314,1,-1,0,1,1,0.0111272,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,3898956670
D1-Production Specialists,410,50,50,1,-1,0,1,1,0.0064099,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,3231915256
D2-MaintConstRepair Specialists,411,50,50,1,-1,0,1,1,0.00566,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,5582009458
D3-ProtectTrans Specialists,412,50,50,1,-1,0,1,1,0.0061657,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6844695531
D4-Blue Collar Unskilled,413,120.4902138,120.4902138,1,-1,0,1,1,0.0085101,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6753725131
FLR Agriculture,501,5000,5000,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,0.02,TRUE,0.02,unknown,FALSE,TRUE,0,0,betapktrk1dist,,,15780638726
FLR Logging,502,5000,5000,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,0.02,TRUE,0.02,unknown,FALSE,TRUE,0,0,betapktrk1dist,,,7254353575
FLR Hospital,503,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,16.60268612,TRUE,16.60268612,unknown,FALSE,TRUE,0,0,betapktrk1dist,,,16207528.97
FLR Retail,504,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,13.29613918,TRUE,13.29613918,unknown,FALSE,TRUE,0,0,betapktrk1dist,,,177925043.6
FLR Office,505,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,16.88941767,TRUE,16.88941767,unknown,FALSE,TRUE,0,0,betapktrk1dist,,,232066615.1
