"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2816",0,0,0,2748.04217622,83522.384998,0,0,8831.92615722,51567.8880241,0,0,197037.500898,63318.0589596,83942.8395347,0,0,290417.986817,95998.0910857
"2817",3047.94613591,1342300000,99565.0308075,888.96745151,8561.20724088,0,3953.6439524,3704.8497152,5294.32514109,0,43229.347678,306330.687153,3403.38576819,25877.2558805,315225.147739,912855.6152,995831.006306,4900.61420013
"2818",0,1.179e+09,0,0,3210.45271533,0,0,0,18526.7499875,0,124.397032058,19745.1708526,0,0,20224.9108376,97836.8464281,109361.122086,0
"2819",0,3285300000,26996.5394551,0,3210.45271533,0,0,0,4927.29108159,5312737,207.46266323,112608.927562,1434.60633521,1257.96081501,115867.687807,527054.379257,575611.613754,1244.11877529
"2820",0,4691137.372,15233.3487189,0,0,0,10062.9568228,0,481.228995041,0,111384.021605,43773.8654136,51203.8271858,0,5407.56248727,17754.3448049,326912.921827,0
"2821",2931.30395946,9281300002,11237.1701542,1411.16286388,925.345087488,0,1081.77789593,8210.67582142,1166.05718372,0,4382.2115019,160279.641039,7681.88575189,11845.2042657,142600.456806,504212.75774,570268.03311,9317.94374871
"2822",0,17350000002,29693.9784296,0,0,0,1145.3647645,0,17537.0186608,0,279.998184049,35600.4654037,2366.79742326,0,30636.2022578,293137.785375,318145.904968,17313.7086462
"2823",26310.2614354,358695691.8,17422.4726788,6203.99196612,12911.2964444,0,8593.13807218,5967.70665159,35221.4056282,8081723921,283.995069378,110611.158283,5230.44544947,40734.6392202,92413.0905245,210696.392949,275224.650991,45763.0126979
"2824",8146.91042655,0,50015.3857347,0,0,0,0,0,0,6644707570,58464.1722312,152323.663779,0,0,145430.572901,413849.348757,289477.142622,0
"2825",17856.2852802,8124200001,10105.8432042,2166.90319799,35422.7051527,0,6088.33519202,65784.9953594,748.170343072,0,42647.0832458,207512.721837,1948.17024957,121380.803202,116663.964316,276210.580278,392487.732058,88437.6668434
