zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2519,0,524574.9,251451.95,182772.23,193539.94,200751.78,209563.58,125282.17,260636.34,186125.5,151371.14,247217.23,293176.72,335633.72
2520,0,5087838.0,2443126.5,1786428.6,1859970.4,1982613.0,2048987.8,1237178.8,2578442.8,1860452.2,1497149.0,2432065.5,2885904.0,3342396.8
2521,0,3935389.8,1856804.8,1294740.2,1541218.9,1317526.4,1492768.6,827569.2,1697633.6,1085535.4,989878.0,1672879.5,1981416.0,2046889.6
2522,0,5597421.0,2368225.5,1850014.9,2254069.0,1558696.9,1999907.0,945012.56,1989236.9,1001055.1,1131505.8,2221180.0,2449968.8,2214019.8
2523,0,3756388.2,1615332.2,1308963.5,1442510.4,1157582.4,1390330.5,691093.9,1482734.4,802904.3,852340.0,1654941.0,1805954.2,1749652.0
2524,0,6333921.0,2413269.2,2031546.4,2575552.5,1762171.0,2154051.8,1054747.1,2290007.8,1202796.8,1306556.6,2742201.5,3073830.2,2960437.2
2525,0,4287881.5,1635989.9,1389503.9,1723571.8,1222735.1,1471519.1,730133.9,1589618.5,854066.44,909211.4,1898321.4,2126139.8,2090923.1
2526,0,2988635.5,1141578.1,976755.06,1189518.5,870031.44,1033407.9,518435.84,1131306.6,619457.0,648285.56,1347555.0,1508426.2,1509650.4
2527,0,6057064.5,2309947.2,1959446.5,2438766.0,1722799.4,2075897.6,1028710.9,2239069.0,1203145.9,1279604.0,2671200.2,2993595.5,2943643.5
2528,0,3276443.5,1164322.0,1098904.5,1285496.4,932888.0,1151906.4,558075.25,1250376.5,636579.75,681028.9,1462179.6,1563246.0,1605993.6
2529,0,5943590.5,2111622.5,1988804.1,2338404.5,1682701.2,2084909.5,1007076.75,2255082.0,1141971.5,1227637.0,2638914.8,2821532.5,2884534.2
2530,0,3541180.2,1259332.1,1196628.2,1376990.5,1026607.6,1254015.1,613332.75,1376604.9,712452.94,750967.75,1606299.8,1716927.0,1790716.4
2531,0,2127666.0,776531.9,716873.0,679542.1,929191.3,834080.75,549420.25,1187873.8,858547.56,779526.6,1427766.4,1575787.6,2082195.6
2532,0,1925528.0,709307.5,616909.3,675250.2,688388.1,717155.4,418973.62,914256.8,589592.06,490597.84,940095.2,1053515.5,1315501.0
